,Date,Rating,Review
0,2020-05-29 02:27:26,4,"Precisa melhorar layout, modo de busca, e o app para smart tv não consigo colocar em português."
1,2020-05-29 02:23:41,5,Filmes muito bons amei !!!!
2,2020-05-29 02:22:10,3,"Precisa evoluir, infelizmente, é comum o travamento das legendas, em especial, no app da smartv, além de alguns conteúdos não terem a opção de dublagem na nossa língua nativa (pt-br). O Menu pode ser mais intuitivo e a interface pode ser melhor trabalhada. Ponto positivo é a edição de cores e tamanhos de legenda, filmografia e link com o IMDB.."
3,2020-05-29 02:22:05,1,"Horrível, fiz a assinatura agora não consigo assistir nenhum filme 😡"
4,2020-05-29 02:21:19,4,Muito bom
5,2020-05-29 02:18:32,4,Rápido e seguro
6,2020-05-29 02:17:59,5,MT bom.
7,2020-05-29 02:17:24,4,Ter um catálogo mais abrangente de séries
8,2020-05-29 02:13:06,1,"Deviam deixar mais intuitivo de usar como a Netflix, oq mais tem ódio é a tela de aumento vc aperta uma vez aí se for trocar qualquer coisa como a legenda ou até o volume ela volta ao normal horríveeeeeeeeeeeeeeeellllllllllllllllllllllllllllll"
9,2020-05-29 02:12:27,4,As prévias são muito intrusivas. Elas não deveriam tocar automaticamente.
10,2020-05-29 02:12:00,5,"Estou gostando muito , filmes e séries antigas e ótimas. Está faltando os meus faroestes somente .kkkk"
11,2020-05-29 02:02:55,3,O ap é bom temuitos filmes e seres mais deixa adezejar porq não tem a função tranmitir para tv .. q é o principal ..est app não faz isto .. se fizesse era um dos melhores
12,2020-05-29 01:50:44,1,"Não gostei deveria ser mais simplificado o sistema de vocês, a concorrência está na frente."
13,2020-05-29 01:47:53,5,Muito bom
14,2020-05-29 01:42:12,3,É ruim o fato da minha lista ficar junto com os meus assistidos. Legenda demora demais pra passar depois que você da o play.
15,2020-05-29 01:40:17,2,"O App é bom, mas é uma pena que não dá para assistir em TV que não tenha instalado o Aplicativo da Amazon, o que é bem diferente da concorrente Netflix. Quando mudar, altero a nota"
16,2020-05-29 01:37:59,5,Muito bom !
17,2020-05-29 01:37:47,5,"Amei o app, maravilhoso."
18,2020-05-29 01:27:03,5,"Muito bom , mesmo mi suprendeu."
19,2020-05-29 01:25:37,5,Muito top
20,2020-05-29 01:24:44,5,"Muito legal, pena que só trava no meu PC de mesa, Jah a Netflix roda de boa..."
21,2020-05-29 01:22:37,5,Super recomendo assisto no meu celular é na minha TV sem nenhum problema
22,2020-05-29 01:18:24,5,Muito bom
23,2020-05-29 01:15:31,4,Melhor app que já vi mais não tem muitos filmes que passaram no cinema isso deveria ter né!!!
24,2020-05-29 01:14:20,1,Aplicativo pesado trava toda hora.
25,2020-05-29 01:12:15,5,Tenho tido uma grata surpresa com a Amazon vídeo. Acho que o aplicativo pode melhorar. Mas o streaming é ótimo. Super recomendo
26,2020-05-29 01:11:30,5,"Muito bom, até agora não tive nenhum problema com o app"
27,2020-05-29 01:10:32,4,Muito !!!! Adoro os filmes e séries !
28,2020-05-29 01:05:12,4,Poderia melhoras a interface
29,2020-05-29 01:03:55,5,Muito bom 😁👏👏👍👍
30,2020-05-29 01:01:36,3,"Precisa ter trailer dos filmes, quando temos opções em grande demanda o trailer ajuda a escolher"
31,2020-05-29 00:53:50,5,Por enquanto muito satisfeito nesse mês gratuito mas tudo me faz cancelar Netflix e ficar com o Prime
32,2020-05-29 00:50:29,1,"Pq ca***** não consigo fazer a assinatura os dados do cartão estão totalmente corretos e aparece que não esta, o app é tão ruim assim que já começa não prestando antes mesmo de testar é"
33,2020-05-29 00:49:23,3,Muitos filmes dublados! Lamentável
34,2020-05-29 00:48:23,5,Excelente
35,2020-05-29 00:47:01,5,Perfeito está de parabéns
36,2020-05-29 00:46:19,5,Otimo
