,Unnamed: 0,Date,Rating,Review,Classification
2,2,2020-05-29 02:22:10,3,"Precisa evoluir, infelizmente, é comum o travamento das legendas, em especial, no app da smartv, além de alguns conteúdos não terem a opção de dublagem na nossa língua nativa (pt-br). O Menu pode ser mais intuitivo e a interface pode ser melhor trabalhada. Ponto positivo é a edição de cores e tamanhos de legenda, filmografia e link com o IMDB..",Positiva
11,11,2020-05-29 02:02:55,3,O ap é bom temuitos filmes e seres mais deixa adezejar porq não tem a função tranmitir para tv .. q é o principal ..est app não faz isto .. se fizesse era um dos melhores,Positiva
14,14,2020-05-29 01:42:12,3,É ruim o fato da minha lista ficar junto com os meus assistidos. Legenda demora demais pra passar depois que você da o play.,Positiva
30,30,2020-05-29 01:01:36,3,"Precisa ter trailer dos filmes, quando temos opções em grande demanda o trailer ajuda a escolher",Positiva
33,33,2020-05-29 00:49:23,3,Muitos filmes dublados! Lamentável,Negativa
45,45,2020-05-29 00:18:22,3,Gostei!! Apesar que tem algumas filmes que eu queria que tivesse mas não tem né!,Positiva
52,52,2020-05-28 23:55:29,3,Infelizmente O Aplicativo Não Está Dando A Classificação Indicativa Nós Filmes. Espero Que Resolvam Isso,Negativa
61,61,2020-05-28 23:23:19,3,Muito bom os filmes e a qualidade da imagem ! Mais a plataforma é ruim !,Positiva
68,68,2020-05-28 22:55:57,3,O preço e ótimo .mais era pra ter o perfis,Positiva
143,143,2020-05-28 13:25:24,3,O aplicativo dando erro e não abre mais! Consertem isso. Pagamos para usar.,Negativa
148,148,2020-05-28 12:48:21,3,Gostaria de poder assistir na minha tv.,Positiva
149,149,2020-05-28 12:30:52,3,"Já Coloquei 3 Cartões, 1 de Crédito os Outros 2 de Débito, Só Aceitou 1 de Débito do Itaú (o Único Que Eu Não Uso e Não Tem Nada Na Conta) os Que Eu Uso Não Aceitou, Como Faço Pra Colocar Meu Cartão de Débito da Caixa econômica",Negativa
154,154,2020-05-28 12:08:48,3,Cópia do Netflix.,Positiva
161,161,2020-05-28 11:26:36,3,As vezes a imagem fica ruim e as vezes até preto e branco! Precisaria melhorar mais nesse aspecto.,Negativa
168,168,2020-05-28 09:58:18,3,"Ótimo para series da Warner e filmes, porém a dublagem para filmes é péssima, a ferramenta de busca não é ""precisa"" e muito vaga, recomendo porém com ressalvas.",Positiva
223,223,2020-05-28 03:19:40,3,"Bom, mas tem detalhes que ainda o deixam atrás de concorrentes como Netflix. Poderiam criar maneiras melhores de conhecer novos títulos, as opções da tela inicial são todas sugestões do app e não parecem usar o histórico do usuário em consideração. Deveria haver a opção de criar perfis para que mais de uma pessoa use a mesma conta.",Negativa
231,231,2020-05-28 02:54:02,3,Interface podia ser melhor,Positiva
260,260,2020-05-28 01:30:24,3,Não roda na minha tv,Negativa
323,323,2020-05-27 23:25:41,3,"Gostei muito, assisto direto filmes no meu celular! Mas acho que poderia ter opção de pareamento com a TV ....aí sim!",Positiva
336,336,2020-05-27 22:44:25,3,"O app é bom mais poderia melhorar, colocando mais filmes novos pois os que estão oferecendo já estão atrasados,e a qualidade de imagens não é muito boa",Positiva
342,342,2020-05-27 22:34:57,3,"Poderia incluir a opção de ter mais de um usuário na mesma conta. Assim, em uma família de 3 pessoas, cada um, assistiria seus filmes sem misturar com o outro.",Positiva
346,346,2020-05-27 22:30:09,3,e bom mais nao consegui baixar na Tv. a minha tv. tem o sistema Tv Box como faço para baixar.,Negativa
374,374,2020-05-27 17:49:51,3,"O app é muito bom e promissor. Porém quando estou vendo algum filme/série e acontece uma cena de ação, a qualidade cai de forma absurda; parece que tá em 144p ou inferior. Já tentei mudar Qualidade de Streaming, mas nada acontece. Sempre que há uma cena rápida ou de ação, a qualidade do vídeo baixa demais e eu não consigo entender o que tá se passando na cena.",Negativa
377,377,2020-05-27 17:35:11,3,Eu acho que o defeito que tô em encontrando e que tá travando muito dando uns bugs do nada eu assistindo vai e para,Negativa
414,414,2020-05-27 14:47:55,3,Olá n tô conseguindo ver filmes nada no.meu telefone depois q atualizei ficou pior já verifiquei a internet n é na TV passa normal mas no meu aparelho tá travando.e tela escura o q posso fazer,Negativa
415,415,2020-05-27 14:41:49,3,As series e filmes do catalogo são incriveis. Porem falta trabalho no quesito layout e assessibilidade. Eu nao quero saber qual série que tem nova enquanto to assistindo a minha. Fora isso td otimo.,Positiva
425,425,2020-05-27 14:11:56,3,Pena nao aceitarem debito. Amazon é ótima mas falta essa opção.,Positiva
428,428,2020-05-27 13:39:01,3,Estou com proble ma de qualidade de imagem,Positiva
449,449,2020-05-27 11:22:17,3,"Busca ineficiente, lista de favoritos meio escondida, interface pouco amigavel, lento...",Positiva
474,474,2020-05-27 05:43:14,3,"O app é bom, mas nn tem séries e filmes coreanos, chineses, falta um pouco de variedade....",Positiva
475,475,2020-05-27 05:32:17,3,É bom mas ainda está meio pesado em celulares antigos como o meu,Positiva
525,525,2020-05-27 02:04:52,3,Funcionou no Android no PC e na samarttv não funciona fica dando erro de internet. A Netflix funciona de Boa só a prime vídeo que não rola,Negativa
528,528,2020-05-27 01:54:42,3,Quando eu entro de pois de um tempo fica preto a tela,Negativa
556,556,2020-05-27 00:58:11,3,Este app é muito bom porém falta colocar animes como: Naruto e Naruto Shippuden,Positiva
561,561,2020-05-27 00:51:26,3,"Quando estou vendo um série, nunca volta no episódio que parei.",Negativa
571,571,2020-05-27 00:29:06,3,Trava muito!,Positiva
575,575,2020-05-27 00:18:12,3,Eu tentei fazer varias vezes meu cadastro só Que não foi não da eu não sei oq fazer,Negativa
576,576,2020-05-27 00:17:48,3,"O conteúdo é bom e o preço ótimo,porém faltam legendas em português em vários filmes e séries,como Heroes.",Positiva
605,605,2020-05-26 23:17:01,3,Não estou conseguindo finalizar na parte de inserir o numero do cartão coloco tudo diretinho e nada.vcs podem me ajudar,Negativa
613,613,2020-05-26 22:58:16,3,"Muitos problemas com áudios e legendas, fora isso, ok",Negativa
628,628,2020-05-26 15:03:58,3,Eu achei muito bom mas tipo eu daria 5 estrelas se tivesse alguns filmes que eu queria ver,Positiva
634,634,2020-05-26 14:39:18,3,Ótimo app. Para melhorar só precisa que seja possível mover a instalação do app para um cartão SD.,Positiva
667,667,2020-05-26 10:00:47,3,"Bom ,,,,,,,,,",Positiva
668,668,2020-05-26 09:45:19,3,"Tinha tudo pra ser um App bacana, mas além de muitos filmes não carregarem direito (fica travando) há uma variedade incontáveis de filmes que não tem o idioma original com legenda.",Positiva
676,676,2020-05-26 08:38:55,3,"É muito bom, tem muitos filmes e séries boas,mas o app para celular a qualidade da imagem é muito ruim mesmo com um aparelho com alta resolução na tela e uma internet boa vc nao consegue assistir nada em HD ou fullhd,e os atendentes não conseguem soluções para o problema..",Negativa
689,689,2020-05-26 06:12:37,3,Coloquem a série Um Amor De Família dublado!,Positiva
700,700,2020-05-26 03:58:15,3,"Catálogo incrível, mas pelo amor de... Essa aparência e layout bem que poderia ser melhorado. Acredito que a Amazon tem condições financeiras de entregar uma interface inovadora e se não, no mínimo uma interface organizada e agradável de se ver.",Positiva
707,707,2020-05-26 03:21:03,3,"Estou gostando bastante do aplicativo. Porém, precisa melhorar, colocar novas séries e filmes. E corrigir erros que estão sendo insuportáveis como parar a reprodução do filme ou série do nada.",Positiva
725,725,2020-05-26 02:26:08,3,"Não consigo transmitir para a TV, não aparece essa opção (básica), que tem que ter em todo app de streaming.",Negativa
728,728,2020-05-26 02:22:10,3,O áudio de alguns filmes estão atrasados!,Positiva
730,730,2020-05-26 02:17:11,3,Muitos filmes e séries sem legendas em português. Acervo pobre,Positiva
762,762,2020-05-26 00:46:42,3,Peca muito na qualidade da imagem,Positiva
764,764,2020-05-26 00:41:43,3,"Não acho útil informações sobre o personagem da cena, assim que a tela é tocada. Além de desnecessário, atrapalha na navegação, seja pra acelerar ou retroceder o que se está assistindo. Outro ponto é a legenda estar dentro de uma caixa sombreada, ocupa mais espaço de tela. Daria uma nota maior, caso esses aspectos fossem corrigidos e a resolução dos vídeos fosse melhor.",Negativa
783,783,2020-05-25 23:55:40,3,O app é bom. Só que não estou conseguindo fazer download de mais de um episodio... Muito estranho. Aparece a mensagem de de limite de download atingido.,Negativa
787,787,2020-05-25 23:47:22,3,Não consigo assistir nem a 4° nem a 5° temporada do anime InuYasha por favor alguém ajuda,Positiva
793,793,2020-05-25 23:29:35,3,"No começo foi incrível, mas depois de 1 semana na minha tv 4k continuam os filmes na qualidade máxima, impecável. Porém, no celular agora mesmo com a qualidade selecionada no máximo em streaming os filmes estão em uma qualidade péssima, tipo em 360p pra menos sendo que eu via em 1080p talvez em 4k sem saber já que não informa nada. Me decepcionei pois uso muito no celular.",Negativa
795,795,2020-05-25 23:27:01,3,Mais filmi de acao,Positiva
805,805,2020-05-25 23:05:35,3,Darei 5 estrelas quando liberar o recurso de cria perfis para o Brasil,Positiva
808,808,2020-05-25 23:02:56,3,Poucas séries disponíveis é quando você pesquisa pelo nome do filme vem 300 filmes que não tem nada a ver,Negativa
811,811,2020-05-25 22:54:21,3,Não transmite muito bem no pareamento com o Chromecast.,Negativa
825,825,2020-05-25 22:17:50,3,"Bom , mais devia ter séries mais atualizados",Positiva
829,829,2020-05-25 22:01:55,3,Quero mais opções de filmes,Positiva
837,837,2020-05-25 21:45:36,3,Imagem ruim,Negativa
843,843,2020-05-25 21:30:30,3,"o catálogo é bom, mas o aplicativo é muito mal feito",Positiva
860,860,2020-05-25 15:19:24,3,"Gostei do prime Video mas está precisando fazer algumas melhorias, e também testei ele na minha TV box mas trava muito e dá erro",Negativa
862,862,2020-05-25 15:12:10,3,"Tem a opção de pagar pelo débito, só que quando adiciona o cartão de débito dá erro na forma de pagamento. Pra quem não tem cartão de crédito como é que faz pra usar?",Negativa
872,872,2020-05-25 14:38:39,3,"App tem travado muito, o video fica paralisado, as vezes o som continua mas a imagem congela, antes da ultima atualização não estava assim",Negativa
881,881,2020-05-25 14:05:58,3,Pouca opção de filmes e séries,Positiva
929,929,2020-05-25 06:04:40,3,Precisa melhorar a interface do aplicativo,Positiva
957,957,2020-05-25 02:57:13,3,".. Em m.l6'""",Positiva
976,976,2020-05-25 02:07:27,3,E possível transferir pra tv como cast?,Negativa
996,996,2020-05-25 01:29:50,3,"Mais ou menos, as propagandas de outras séries/filmes do Amazon antes de cada episódio/filme é desanimador e incômodo, não tem como desabilitar essa função, então antes de cada episódio ou filme aparece uma propaganda do próprio Amazon, vou voltar pro Netflix logo logo, só por causa desse detalhe, só estou esperando eu terminar minha série e volto, espero que leiam meu feedback e arrumem isto, já vi vários comentários iguais ao meu, se pago não quero ver propaganda, isso é on demand.",Negativa
1009,1009,2020-05-25 01:01:21,3,"O app tem uma boa variedade de conteúdo, entretanto o fato de ficar empurrando propaganda em todo início de filme ou série o torna bastante irritante. Eu sou assinante, não quero comerciais.",Positiva
1013,1013,2020-05-25 00:54:32,3,Filme do vingadores ultimato está cm áudio atrasado,Positiva
1020,1020,2020-05-25 00:37:00,3,"Toda hora some o botão pra transmitir pra tv. Uso chromecast e o aplicativo, ao contrário do que dizem, eh compatível, porém toda hora some o botão, tenho que reinstalar várias vezes até voltar essa opção.... difícil viu.",Negativa
1030,1030,2020-05-25 00:20:34,3,AINDA TEM QUE MELHORAR UM POUCO! PRINCIPALMENTE NA QUESTÃO DA QUALIDADE QUE NÃO É MUITO LÁ ESSAS COISAS.,Positiva
1036,1036,2020-05-24 23:57:15,3,Diminuir a avaliação pois os downloads do AP não ficam dublados arrumem por favor,Negativa
1043,1043,2020-05-24 23:43:56,3,"Coloquem a opção para transmitir para TV por favorrr, não consigo nem espelhar pelo celular que o aplicativo trava",Negativa
1052,1052,2020-05-24 23:04:45,3,"Bom mas nao da pra parar avancar, a qualidade do video pode ser melhor",Positiva
1062,1062,2020-05-24 22:44:51,3,"Foi removido a opção de pular os anúncios no aplicativo para as TVS da LG? Já achava tosco ter que pular anúncios em um serviço pago, agora sumir a opção de pular os anúncios beira a ser inaceitável, a única coisa que me prende a esse serviço é o catálogo e o preço, pois a interface do aplicativo também é terrível.",Negativa
1070,1070,2020-05-24 22:27:35,3,"Os conteúdos disponíveis são incríveis,mas o app deixa muito a desejar como por exemplos os perfis que so existem um,poderia ter janelas diferentes como a Netflix e também as temporadas de séries que ficam separadas e desorganizadas,se esses pontos fossem melhorados com certeza seria o um dos melhores streaming do Brasil se nao o melhor!.",Positiva
1115,1115,2020-05-24 16:17:10,3,"Conteúdo muito bom,mas a interface deixa a desejar. Pelo preço e os benefícios de assinar compensa sim.",Positiva
1120,1120,2020-05-24 16:10:59,3,Catálogos de filmes não é lá essas coisas; Pra avançar/voltar uma cena não é fácil numa Smart,Positiva
1121,1121,2020-05-24 16:02:31,3,"O app é bom, mas toda vez que volto para ver o a série a legenda não aparece e tenho que configurar novamente. Poderiam verificar?",Negativa
1123,1123,2020-05-24 15:50:12,3,Acho muito complicado mexer nas funções do app acabei de instalar e estou perdidinho o conteúdo e muito bom mais muito complicado para quem está chegando agora não tem divisão de telas para os outros usuários se tiver até agora não achei mais fora isso estou curtindo.,Negativa
1126,1126,2020-05-24 15:42:58,3,"Desde semana passada nenhuma legenda apareça. E raras as vezes quando está sendo mostrada, é português de Portugal. O aplicativo é bom, mas esses erros desanimam.",Negativa
1136,1136,2020-05-24 15:17:57,3,"Estou gostando muito, porém Smallville que estou assistindo sempre tem alguns ep que não quer rodar fica dando erro , poderia arrumar isso ,tenho que pular até 3 ep aí fica ruim .",Negativa
1145,1145,2020-05-24 14:59:03,3,Poderia ter a opção de usar cartao de debito,Positiva
1151,1151,2020-05-24 14:42:34,3,"Pela 2° vez estou cancelando e espero q NÃO CONTINUEM ME COBRANDO COMO DA 1° VEZ,ONDE CANCELEI,MANDEI E-MAILS E NINGUÉM ME RESPONDEU.A MINHA DEIXA É: VENCE A ASSINATURA DIA 14/06/20 CASO ME COBREM APÓS ESTE PERÍODO ESTAREI POSTANDO AQUI E BUSCANDO MEUS DIREITOS LEGAIS A RESPEITO. NÃO ADIANTA INSISTIR EM ME COBRAR MAIS APÓS,NA INTENÇÃO DE OBRIGAR AS PESSOAS A FICAR COM A ASSINATURA. MELHOREM O CATÁLOGO DE VCS,QUE DEIXA MUITO A DESEJAR,QUE, TALVEZ, NUM FUTURO PRÓXIMO A GENTE CONVERSA.",Negativa
1154,1154,2020-05-24 14:33:07,3,"Catálogo é até bom comparado ao preço, mas o aplicativo é muito ruim, não tem perfil separado pra várias pessoas, quando você termina alguma coisa não some, e é muito difícil achar coisas novas pra assistir.",Positiva
1165,1165,2020-05-24 14:01:48,3,navegacao pouco intuitiva.,Positiva
1170,1170,2020-05-24 13:35:57,3,"Ao espelhar na minha TV , a imagem não aparece !!!",Negativa
1177,1177,2020-05-24 12:47:13,3,"Ótimo, porém tem propaganda da própria Amazon dos filmes e séries antes de abrir oque eu quero, se eu já pago não quero ver propaganda.",Negativa
1193,1193,2020-05-24 11:11:39,3,"Plataforma simples com muitas oportunidades de melhorias. As legendas ou idiomas as vezes não aparecem, os episódios de algumas séries não passam automaticamente, além de outras pequenas coisas que podem melhorar a interatividade.",Positiva
1211,1211,2020-05-24 06:30:10,3,"Faltam muitos filmes, tais como - A GUERRA DO FOGO - SANGUE SOBRE A NEVE - O HABITO NAO FAZ O MONJE. Por isso recebeu 3 estrelas.",Positiva
1245,1245,2020-05-24 03:16:56,3,"Estava indo super bem, mas hoje, todos os filmes estão sem legenda e áudio em português",Positiva
1259,1259,2020-05-24 02:35:36,3,"Audio atrasado e na reprodução, às vezes, a tela fica azul",Negativa
1260,1260,2020-05-24 02:30:48,3,N sao todos os filmes que são em português,Positiva
1276,1276,2020-05-24 02:00:32,3,Gosto da Amazon mais pelo amor de Cristo melhora esse a estética do app. Está muito ruim de lidar com ele poderia ser mais prático intuito Netflix e mais organizado OBVIAMENTE PREFIRO AMAZON MAIS MELHOREM ISSO,Positiva
1280,1280,2020-05-24 01:50:45,3,Ótimo!!,Positiva
1297,1297,2020-05-24 00:54:47,3,"Bom aplicativo, entretanto não possui muitas opções de filmes e séries, e os anúncios que antes podia pular, agora é obrigatório assistir, o que eu acho desnecessário.",Positiva
1311,1311,2020-05-24 00:24:16,3,poderia mais serie melhores,Positiva
1334,1334,2020-05-23 23:52:55,3,"App muito bom, rápido, não consome bateria demais, só sugiro que coloquem mais filmes e séries, nesse aspecto considerei um pouco fraco, mas que também não muda muito para os outros.",Positiva
1391,1391,2020-05-23 18:25:32,3,"Preciso cancelar minha conta, e não estou conseguindo",Negativa
1393,1393,2020-05-23 18:17:56,3,The good doctor não está pegando.,Positiva
1398,1398,2020-05-23 18:08:25,3,Nao tem como pagar pelo boleto,Negativa
1401,1401,2020-05-23 18:04:23,3,"Querida Amazon, peço melhorar o áudio de alguns filmes, pois ficam atrasados... De restante está tudo certo. Obrigada!!!",Positiva
1415,1415,2020-05-23 17:32:08,3,"O leque de filmes é excelente, entretanto, a plataforma deixa bastante a desejar quanto a qualidade de vídeo. É de se admirar q uma empresa gigantesca como a Amazon n consiga Simplesmente melhorar a qualidade dos vídeos em sua plataforma. Espero que vcs leiam este comentário assim como os e trabalhem de fato para melhorar esse problema.",Positiva
1445,1445,2020-05-23 16:23:37,3,"Adicionem mais animes, e com áudio em japonês pfv.",Positiva
1447,1447,2020-05-23 16:12:23,3,"Comparado a outras plataformas de vídeo, o app é muito pesado vive travando, acho que deveria ter uma organização melhor dos gêneros dos filmes e séries.",Positiva
1468,1468,2020-05-23 14:36:29,3,"Melhorou muito, mas ainda sim tá bagunçado, a falta de não ser dividido em perfis é uma coisa chata, a Netflix tá ganhando de vocês nisso, pq da uma certa ""privacidade"" no que se assiste, já com vocês isso não existe...",Positiva
1485,1485,2020-05-23 13:38:30,3,"As propagandas de série e filme sempre que começo a ver um episódio e chato, fora isso é bom",Positiva
1493,1493,2020-05-23 13:00:39,3,Tenho uma smart tv TCL 43 não consigo loga o app Amazon tem que corrigir esse problema pois ser não terei que cancelar,Negativa
1501,1501,2020-05-23 12:18:55,3,"Eu queria que desse pra transmitir tela, o da Netflix tem essa opção. É uma pena o Amazon prime não ter.",Negativa
1535,1535,2020-05-23 05:20:52,3,"Se vc usar o app em um dispositivo não tao bom ele vai dar trabalho para funcionar, depois ele funciona normalmente. Falta algumas aprimorações como melhorar as seleções de filmes e series por categorias e o sistema de busca também deixa a desejar, porem tem uma vantagem em relação aos outros streemings que eh o zoom, ninguém merece ver filmes e series com tarja preta.",Positiva
1554,1554,2020-05-23 03:55:15,3,Está com problemas em várias séries que a legenda tá muito ruim na série heroes por exemplo eu tô vendo a série com metades da fala em japonês sei lá e tem muito pouco filmes e series,Positiva
1560,1560,2020-05-23 03:33:25,3,"Um bom app, na tv melhor ainda mas acho q deveria ter a opção de perfil aqui no Brasil pois fica confuso assistir tudo num perfil só.",Positiva
1562,1562,2020-05-23 03:22:08,3,"Um ótimo aplicativo de reprodução. Mas, poderiam separar telas simultâneas.",Positiva
1566,1566,2020-05-23 03:12:18,3,"Muito bom, mas poderia ter uma divisão em perfis, atrapalha um pouco tudo o que a família assiste ir para um lugar só.",Positiva
1576,1576,2020-05-23 02:49:56,3,"Instalei a pouco tempo, estou gostando,. Se for bom darei mais estrelas",Positiva
1598,1598,2020-05-23 01:14:56,3,Não gostode ver filmes cortados.,Positiva
1602,1602,2020-05-23 00:55:53,3,"A qualidade da imagem está muito baixa, perguntei à alguns amigos como ajeitar, e eles estão com o mesmo problema. Mais alguém com esse problema, e que saiba como resolver?",Negativa
1608,1608,2020-05-23 00:31:07,3,"Gosto muito do app, no entanto dps de umas atualizações o vídeo está travando sem motivo algum.",Negativa
1613,1613,2020-05-23 00:07:21,3,foto dos titulos sao pequenas dificil visualizacao. Falta resumo dos filmes.,Positiva
1616,1616,2020-05-23 00:01:50,3,"Gosto do app mas gostaria que tivesse usuários disponível, pois somos eu e meu filho e esposo as vezes queremos ver diferentes assim fica tudo misturado. Liberem a criação de mais perfis",Negativa
1625,1625,2020-05-22 23:02:18,3,Cracha muitas vezes,Positiva
1631,1631,2020-05-22 22:37:09,3,"Não consegui assinar por não possuir cartão de credito, vocês devem adicionar outras formas de pagamento, como boleto, por saldo da Google play... Entre outras que facilite a quem não possui cartão",Negativa
1642,1642,2020-05-22 17:56:19,3,"O aplicativo está travando demais , algumas dublagens não estão sincronizadas ... Enfim ... Esta parecendo app pirata.",Negativa
1649,1649,2020-05-22 17:28:22,3,Toda via no puede ver,Negativa
1676,1676,2020-05-22 15:40:25,3,"Deveriam incluir tudo do amazon em só um App , e também contratar alguns designer gráfico pra da uma cara nova pro app pra ficar também mais interativo e dinâmico , porque é muito bagunçado.",Positiva
1712,1712,2020-05-22 11:38:22,3,"Não consigo nem abrir o aplicativo, fica indisponível o tempo todo, tenho que ficar desinstalando e instalando pra funcionar.",Negativa
1725,1725,2020-05-22 08:15:03,3,É bom mas falta muitos filmes no catálogo como por exemplo Vingadores Guerra Infinita e mas 11 filmes da Marvel que não está incluído . Talvez eu cancele,Positiva
1729,1729,2020-05-22 07:01:16,3,O app tem bons titulos e otimoa exclusivos mas infelizmenre o player da amazom nao faz compensar,Negativa
1730,1730,2020-05-22 06:39:45,3,"Tem hora que a legenda ou o áudio não mudam,e o menu para mudar essas opções poderia ser mais fácil acesso. Deveria ter como escolher um perfil pessoal como na net flix.",Positiva
1748,1748,2020-05-22 03:43:05,3,"Eu realmente gostei do Prime Vídeo, assim como do app. Contudo, as categorias de filmes e séries poderiam ser msis diversificadas e melhor organizadas",Positiva
1756,1756,2020-05-22 03:15:22,3,Tem muito que melhorar o app,Positiva
1758,1758,2020-05-22 02:59:47,3,coloquei outras formas de pagamento que n seja cartão tipo transferencia de netteler boletor etc.,Positiva
1759,1759,2020-05-22 02:59:00,3,"Ótimo acervo de filmes e séries, mas o aplicativo precisa ser melhorado. As séries precisam ter o botão para passar para o próximo episódio logo após o término, em vez de estar escondido nas opções do player.",Positiva
1761,1761,2020-05-22 02:49:12,3,O aplicativo é bom mas tem vez q eu acabo de abrir o app e dps de uns 5 segundos fica com uma tela preta e só tem com tirar se sair e fechar a aba do app e entrar dnv e quando eu uso o fone(nesse caso eu usei fone Bluetooth) tinha vez q o áudio do filme dava uma pausa e dps voltava mas o app é bom,Negativa
1763,1763,2020-05-22 02:48:19,3,Contratei mais o aplicativo está com problemas toda hora da erro por favor concerte isso pois quero continuar sendo cliente da Amazon.,Negativa
1778,1778,2020-05-22 02:08:05,3,"O catálogo é bom. Porém o aplicativo é muito ruim. O próprio app da Amazon não oferece suporte ao cast da própria empresa ( fire tv stick), e oque já ruim no celular, fica ainda pior no aparelho. Pois pelo menos no celular se pode navegar com mais ""facilidade"" nos filmes. Por favor, coloquem suporte ao cast pro aparelho de vocês, o cast funciona no aparelho rival ( chromecast) mas não funciona no de vocês, isso é ridículo. E melhorem essa navegação do app",Negativa
1780,1780,2020-05-22 02:04:16,3,Tem muita coisa interessante e que eu gostaria muito de assistir mas só tem dublado. Não dá. Deveria ter a opção do áudio original e legendas. Poderiam rever isso.,Positiva
1783,1783,2020-05-22 01:49:17,3,"Muito bom, cheio de novidades, as melhores séries e filmes, bem facil de manusear! O problema é que eu fiz o plano junto com a minha conta de celular da vivo e foi cancelado sem eu ter pedido.",Positiva
1797,1797,2020-05-22 01:22:45,3,Bom. Um pouco lento. Poderia ter melhor separação do do conteúdo. Ter perfis como outros aplicativos concorrentes. Funciona bem. Não trava.,Positiva
1798,1798,2020-05-22 01:21:39,3,Assinei e ja tem mais de meia hora que nao consigo assitir nada.,Negativa
