,Unnamed: 0,Date,Rating,Review,Classification
48,49,2020-05-29 02:04:55,3,Tem algumas séries com temporada faltando,Positiva
103,104,2020-05-29 01:06:31,3,Não esta favorável a mim pq as séries q eu gosto não estão disponíveis ..,Positiva
133,134,2020-05-29 00:03:21,3,Ele é ótimo só que está tirando muitos filmes e séries legais eu pesso que ponha mais filmes e séries e coloca os devolta,Positiva
147,148,2020-05-28 23:48:42,3,"Vou dar três estrelas, por ter descontado assim que cadastrei o cartão, estava no anúncio que era um mês grátis. Mas o app em si é bom, tem vários filmes ótimos.",Positiva
186,187,2020-05-28 23:12:25,3,"O app é bom pq tem varios filmes e series e da pra baixar e ver ate sem internet , porem tem mtos filmes que tinham ai e tiraram , poderiam colocar e n tira os filmes",Positiva
201,202,2020-05-28 22:57:28,3,A Netflix tá deixando a desejar no q diz respeito à colocar mais Filmes de ação atualizado. Tá muito repetitivo. Precisa inovar.,Negativa
213,214,2020-05-28 22:45:18,3,"E ótimo, só demoram muito pra atualiza os filmes e séries e inclusive tenho um pedido a fazer poderiam colocá American Horror store pfvr kkk tô doido praa ver essa série",Positiva
220,221,2020-05-28 22:41:18,3,"Estou a ver episódios de Grandes acontecimentos da segunda guerra mundial a cores e a qualidade das legendas em português é muito má, nalguns casos distorcendo completamente a mensagem. Melhorem o controlo de qualidade, por favor, ou vão perder um cliente",Negativa
237,238,2020-05-28 21:58:50,3,Devem colocar melhores filmes!!!,Positiva
251,252,2020-05-28 21:43:27,3,"E bom, só que poderia ter mais variedade de filmes, voltar com os antigos e colocar novos tbm",Positiva
273,274,2020-05-28 21:17:12,3,Pr fvr dumblar naruto shippudenn,Positiva
287,288,2020-05-28 20:51:10,3,Gosto muito mais acho que deveria ter mais cuidado com nossas conta pra ninguém usa,Positiva
290,291,2020-05-28 20:49:23,3,"Olá e um ótimo aplicativo mas quando atualiza vem dando alguns erros, como por exemplo não tem imagem tanto em filmes quanto séries, se puderem arrumar esse problema eu agradeço!!",Positiva
294,295,2020-05-28 20:41:58,3,"Gosto muito do netflix, com uma restrição em relação a legenda, que poderia ser na cor amarela, pq quem tem problema de visão e mais fácil de ler, pois em cenário que e branco, não da pra ler a legenda, pensa ....",Positiva
298,299,2020-05-28 20:34:35,3,"Está dando erro toda hora. Tenho que reiniciar o App toda hora que estou assistindo. Celular é novo, Galaxy A50",Negativa
339,340,2020-05-28 19:03:40,3,Melhor App de séries e filmes só que poderia ter mais filmes de hoje em dia demora 3 anos para colocar um filme ñ estou brincando e as vezes trava do nada outra coisa o YouTube tem muito mais vídeo (filme séries)e é grátis a Netflix poderia ser grátis porque tem vários problemas poderia ser grátis pois ñ satisfaz muitas das vezes dica ai😆,Positiva
403,404,2020-05-28 17:22:15,3,"Estava assistindo a série Mako Mermaids, o app tirou a 1, 2 e 3 temporada, estava MUITO bom e saiu, tô triste. Gostaria muito que voltasse as temporadas anteriores 😔.",Positiva
412,413,2020-05-28 17:11:17,3,"A maioria dos filmes que eu procuro pra assistir , não tem.",Positiva
415,416,2020-05-28 17:05:12,3,A Netflix e fraca de anime tem que ter mais animes ...,Positiva
420,421,2020-05-28 16:54:40,3,"Oi netflix tudo bem? Se algum de vcs virem isso, gente por favor dublem naruto shippuden por favor, acabou no meio do anime, vcs poderiam continuar com os mesmos dubladores antigos mais botar novos pra dublar os personagens novos tbm, pfv. Os fans do Brasil daquela epoca cometeram um erro mesmo, mais agora todo mundo quer q naruto shippuden volte a ser dublado até o final pfv.",Positiva
428,429,2020-05-28 16:27:31,3,Mt bom pra assistir mais tem filme q ainda n tem e novos episódios em séries ok arrumem isso Netflix,Positiva
461,462,2020-05-28 15:51:42,3,E mt bom o app mas a net tirou Gravity falls um desenho animado mt bom,Positiva
465,466,2020-05-28 15:45:26,3,"O aplicativo é ótimo, mas a retirada de alguns filmes e séries não era pra acontecer. Estava assistindo sou luna e derrepente retiraram e eu amo essa série, aff.....!!",Positiva
511,512,2020-05-28 14:12:08,3,Falta muitos animes,Positiva
541,542,2020-05-28 13:16:36,3,Seria melhor se tivesse a opção de pagar por boleto !,Positiva
570,571,2020-05-28 12:18:11,3,Poderia ter os filmes da Disney👌😔,Positiva
584,585,2020-05-28 11:43:08,3,É legal o problema é porque às vezes somem de desenhos que a gente quer assistir mas fora isso é legal★★★✩✩,Positiva
587,588,2020-05-28 11:39:54,3,"Eu fiquei esperando por meio ano pra lançar anime dublado, o trailer do em breve tava dublado tudo tava dublado (eu acho) ,eu não sou daqueles que não acredita em covid, mais tirar a dublagem pronta e sacanagem, e se não tava dublado pelo menos não deveria mostrar o trailer . Essa foi minha crítica construtiva",Positiva
592,593,2020-05-28 11:24:23,3,Nossa eu adorei a Netflix mas só precisa ter mais filmes ☺,Positiva
602,603,2020-05-28 10:35:16,3,Precisamos de novos filmes,Positiva
626,627,2020-05-28 07:59:27,3,Boa pra ver séries já filmes... Catálogo muito pobre!,Positiva
631,632,2020-05-28 07:35:08,3,"Bom! Belo app mais eu acho que deveria colocar mais animes, e tambem,colocar os animes que tiraram, tirando isso otimo app!!",Positiva
637,638,2020-05-28 06:25:41,3,"Não sei que aconteceu depois que atualizou simplesmente fica dando erro da Netflix e fica congelando a série ou o filme é saindo do app ,acho que pode melhorar",Negativa
702,703,2020-05-28 03:38:41,3,"O conteúdo é bom, mais uma série, que eu amo muito, saiu, "" meninas superpoderosas"", essa série saiu pq? Aconteceu algum problema? So para vcs saberem, estou decepcionada, e quero me retirar nessa situação, vão me responder? Acho bom! E tem mais! Umas vezes o App fica dizendo ""ouvi uma falha no servidor, tente novamente mais tarde"" E assim, quando espero e volto, da o aviso novamente, depois eu reinicio a entrar no app, E AI EU VEJO QUE A NETFLIX SAIU!! Eu estou tão indignada [ °\ ~ /°]",Negativa
725,726,2020-05-28 02:58:44,3,A minha imagem não para de travar mais o som continua rodando isso ta enchendo muito o saco já é a terceira vez que desistalo é instalo de novo assim não da,Negativa
728,729,2020-05-28 02:55:45,3,O que aconteceu com Reign? aparece 4 temporadas e quando eu vou assistir só tem a 1,Negativa
734,735,2020-05-28 02:33:19,3,Achava otimo mas agora não estou gostando eles deixam uma serie pela metade so com algumas temporadas e tem poucas opções teen so entra filmes e series de terror não acho mais series que custumava achar,Positiva
743,744,2020-05-28 02:24:12,3,"era maravilhoso o app o único problema é que eles tiraram as series que a Disney produziu, os filmes... tudo, um conselho? se eu fosse querer audiência eu colocaria todos novamente, e não só por que eu quero mas todos que eu conheço também acham que isso é um problema, e na quarentena iriam ganhar muito assinantes",Positiva
746,747,2020-05-28 02:21:18,3,Poderia ter o suporte de atendimento no idioma do país que opera. Só tem suporte em inglês.,Negativa
749,750,2020-05-28 02:17:39,3,Netflix é muito bom mas deixa a desejar quando o app ficar parando do nada,Positiva
759,760,2020-05-28 02:03:38,3,É bom mais tem filmes que tem dublado mais na Netflix não é dublado isso e errado ele tem que ver isso,Positiva
762,763,2020-05-28 01:59:04,3,É orivel,Negativa
790,791,2020-05-28 01:19:48,3,"Já tava bom de dar uma reduzida no valor, tá perdendo vários filmes e séries e caríssimo comparada a concorrência, meus dias na Netflix estão contados.",Negativa
798,799,2020-05-28 01:09:31,3,Na smart tv está péssimo o som desde o último final de semana,Negativa
799,800,2020-05-28 01:08:12,3,Depois que atualizou as series começaram a travar e dar problemas no carregamento...,Negativa
800,801,2020-05-28 01:06:03,3,This is the best app ever!!,Positiva
807,808,2020-05-28 00:55:46,3,Demora na atualização de filmes e séries,Positiva
837,838,2020-05-28 00:18:39,3,#supernatural,NaN
853,854,2020-05-28 00:03:20,3,Gostaria de ver a série o bom doutor e também the flash 6 temporada .,Positiva
855,856,2020-05-28 00:02:00,3,Mantos Bommm,Positiva
871,872,2020-05-27 23:48:15,3,Não está aparecendo as séries que eu gosto!!!?????,Positiva
872,873,2020-05-27 23:48:08,3,Na raba toma tapão ksksk,Positiva
880,881,2020-05-27 23:23:27,3,Bom tem que melhorar de filmes Lançamentos ldldkdmfmdndnddnd,Positiva
888,889,2020-05-27 23:17:45,3,Séria muito melhor se nós pudéssemos remover que série ou filme do parte continuar assistindo de um jeito mais fácil,Positiva
924,925,2020-05-27 22:26:50,3,"Dando bug toda hora quando vai atualizar os dados do cartão de crédito, arrumem isso por favor.",Negativa
941,942,2020-05-27 21:53:45,3,Tem séries que estão incompletas como the flash que não chegou a 6 temporada ainda. mas tirando isso tudo é bom,Positiva
1000,1001,2020-05-27 20:30:02,3,"Tava ótimo... Mas de repente começou a travar e interromper o clímax do filme. Não é a internet, é o sistema. Por favor, como melhorar isso?!",Negativa
1003,1004,2020-05-27 20:25:56,3,"Um ótimoaplicativo mas ultimamente estou tendo problemas pra assistir no meu celular, ele fica travando e estou tendo dificuldades pra entrar.",Negativa
1005,1006,2020-05-27 20:22:24,3,Estou com dificuldade de excluir filmes da lista de continuar assistindo no celular.,Negativa
1011,1012,2020-05-27 19:09:23,3,Horrivel,Negativa
1024,1025,2020-05-27 18:50:19,3,Deveria ter mais séries românticas q nao seja da china,Positiva
1041,1042,2020-05-27 18:20:00,3,Por favor retornem. Funco de retirar da fila de assistindo.um saco ter que fazer todos processo la na conta pra retirar e inda no tá dando certo .está ótimo com essa função direto como estava,Negativa
1044,1045,2020-05-27 18:13:15,3,App muito bom só porém tiram séries muito boas do app assim como supernatural mano tem que volta com a temporada 14,Positiva
1045,1046,2020-05-27 18:11:36,3,Não tira o filo house por favor,Positiva
